,DATE,users,cust_hash_count,sessions,orders,revenue,bounces,entries,exits,Catalog_PI,catalog_clicks,catalog_clicks_1,variant
119409,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Control
12583,20170208,1,1,1,0,0.0,0,1,0,1,1,1,Treatment
12581,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
50578,20170208,1,1,1,0,0.0,0,1,0,1,1,1,Treatment
128891,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
241235,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
241523,20170208,1,1,1,0,0.0,0,1,0,1,3,3,Treatment
150247,20170208,1,1,1,0,0.0,0,0,0,1,1,1,Treatment
129232,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
40772,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
40801,20170208,1,1,1,0,0.0,0,0,1,1,0,0,Treatment
308368,20170208,1,1,1,0,0.0,0,0,1,2,0,0,Treatment
69197,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
1662,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
196494,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
256343,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
369507,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
256040,20170208,1,1,1,0,0.0,0,0,0,3,1,1,Treatment
11951,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
354318,20170208,1,1,1,0,0.0,0,0,1,1,0,0,Treatment
246164,20170208,1,1,1,0,0.0,0,1,1,2,1,1,Treatment
347696,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
246383,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
347698,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
88764,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
84314,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
88809,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
258028,20170208,1,1,1,0,0.0,0,0,1,8,4,3,Treatment
163162,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
14149,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
257695,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
359471,20170208,1,1,1,0,0.0,0,1,0,1,0,0,Treatment
356630,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
256962,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
348387,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
59149,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
316973,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
110236,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
25540,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
200641,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
368254,20170208,1,1,1,0,0.0,0,0,1,2,0,0,Treatment
315894,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
328684,20170208,1,1,1,0,0.0,0,0,0,6,1,1,Treatment
197688,20170208,1,1,1,0,0.0,0,0,0,0,1,1,Treatment
40171,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
207508,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
369800,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Control
60053,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
271264,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
271266,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
70046,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
197689,20170208,1,1,2,0,0.0,1,1,1,1,0,0,Control
39902,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
197761,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
104070,20170208,1,1,1,0,0.0,0,1,1,5,2,2,Treatment
304891,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
315013,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
315071,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
61334,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
267562,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
306153,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
25244,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
22426,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
196781,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
217301,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
60261,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
40128,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
196847,20170208,1,1,1,0,0.0,0,1,0,3,1,1,Treatment
310576,20170208,1,1,1,0,0.0,0,0,0,11,5,3,Treatment
305241,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
354336,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
354400,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
138741,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
71400,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
71467,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
297273,20170208,1,1,1,0,0.0,0,0,1,4,0,0,Treatment
41459,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
366093,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
186843,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
187212,20170208,1,1,1,0,0.0,0,0,0,9,0,0,Treatment
98944,20170208,2,1,3,0,0.0,0,0,0,0,0,0,Treatment
20177,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
99566,20170208,1,1,1,0,0.0,0,1,0,1,0,0,Treatment
298484,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
265992,20170208,1,1,1,0,0.0,0,0,1,9,8,6,Treatment
188084,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
179536,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
226164,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
296226,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
30858,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
30979,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
276747,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
120120,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
295628,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
295626,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
3863,20170208,1,1,3,0,0.0,0,0,0,0,0,0,Treatment
177247,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
235713,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
79290,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
334413,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
236246,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
334998,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
79637,20170208,1,1,3,0,0.0,0,0,0,0,0,0,Treatment
168348,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
79052,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
334707,20170208,1,1,1,0,0.0,0,0,1,1,0,0,Treatment
178170,20170208,1,1,1,0,0.0,0,1,1,2,1,1,Treatment
275791,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
179224,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
148928,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
148920,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
344903,20170208,1,1,1,0,0.0,0,0,0,4,1,1,Treatment
148919,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
33276,20170208,1,1,1,0,0.0,0,0,1,1,0,0,Treatment
345560,20170208,1,1,1,0,0.0,0,0,0,1,0,0,Treatment
285643,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
33279,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
148855,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Treatment
248434,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
140361,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
89339,20170208,1,1,1,0,0.0,0,0,1,4,0,0,Treatment
91030,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
138442,20170208,1,1,1,0,0.0,0,1,0,1,1,1,Treatment
148851,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
147517,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
133676,20170208,1,1,2,1,58.751038,0,2,0,27,17,14,Treatment
285635,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
324333,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
324335,20170208,1,1,3,0,0.0,0,0,0,0,0,0,Treatment
227327,20170208,1,1,1,0,0.0,0,1,1,1,0,0,Treatment
227357,20170208,1,1,1,0,0.0,0,1,0,1,1,1,Treatment
227033,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
42115,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Treatment
324778,20170208,1,1,1,0,0.0,0,1,1,1,0,0,Treatment
365348,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
325099,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
148032,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
148337,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
148333,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
148330,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
10436,20170208,1,1,8,0,0.0,0,0,0,0,0,0,Treatment
285933,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
199991,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Control
199993,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Control
276455,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Treatment
70032,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
127984,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
160111,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
93886,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
31997,20170208,1,1,1,1,69.834109,0,1,0,2,1,1,Control
158786,20170208,1,1,1,0,0.0,0,0,1,1,0,0,Control
158457,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
256999,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
158458,20170208,1,1,1,0,0.0,0,0,0,2,2,1,Control
80602,20170208,1,1,1,0,0.0,0,0,1,4,1,1,Control
257692,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
337965,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
290617,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
238158,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Control
287610,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
337011,20170208,1,1,1,0,0.0,0,0,0,2,1,1,Control
130578,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
149913,20170208,1,1,1,0,0.0,0,1,0,1,1,1,Control
247065,20170208,1,1,1,1,12.051495,0,0,0,6,0,0,Control
89690,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
89691,20170208,1,1,1,0,0.0,0,0,1,6,1,0,Control
137592,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
89335,20170208,2,1,2,1,150.0705,0,0,0,1,0,0,Control
138150,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
138083,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
88759,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
138744,20170208,1,1,1,0,0.0,0,0,0,4,5,4,Control
143211,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
246161,20170208,1,1,2,0,0.0,0,0,0,0,0,0,Control
246382,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
88811,20170208,1,1,1,0,0.0,0,0,0,11,1,1,Control
349873,20170208,1,1,2,0,0.0,0,1,1,3,0,0,Control
246965,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
248069,20170208,1,1,1,0,0.0,0,0,1,1,0,0,Control
139684,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
130648,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
287886,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
192369,20170208,1,1,1,0,0.0,0,0,0,1,0,0,Control
101844,20170208,1,1,3,0,0.0,0,0,0,0,0,0,Control
60970,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
217664,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
208914,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
69482,20170208,1,1,1,0,0.0,0,0,1,30,16,8,Control
101843,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
217628,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
268191,20170208,1,1,1,0,0.0,0,0,0,7,0,0,Control
59148,20170208,2,1,2,0,0.0,0,0,0,0,0,0,Control
61337,20170208,1,1,2,0,0.0,0,0,1,10,3,2,Control
316969,20170208,1,1,1,0,0.0,0,0,1,15,9,9,Control
197130,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
315597,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
305190,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
279632,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
39853,20170208,1,1,1,0,0.0,0,0,1,5,1,1,Control
101846,20170208,1,1,1,0,0.0,0,0,0,1,2,2,Control
44859,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
256039,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
150249,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
255958,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Control
344288,20170208,3,1,3,0,0.0,0,0,0,9,4,0,Control
129930,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
196321,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
32388,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
128927,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
129212,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
50468,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
40765,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
40804,20170208,1,1,1,0,0.0,1,1,1,1,0,0,Control
69143,20170208,1,1,1,0,0.0,0,0,0,0,0,0,Control
